
         3314089 function calls (3311464 primitive calls) in 20.132 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    159/1    0.004    0.000   20.134   20.134 {built-in method builtins.exec}
        1    0.000    0.000   20.134   20.134 unnamed.py:1(<module>)
        1    2.591    2.591   19.329   19.329 unnamed.py:1111(main_menu)
        1    0.018    0.018   14.765   14.765 unnamed.py:1089(play_game)
      435   13.312    0.031   14.706    0.034 unnamed.py:892(render_all)
        1    0.003    0.003    1.116    1.116 unnamed.py:1063(new_game)
        1    1.095    1.095    1.108    1.108 unnamed.py:782(inputbox)
        4    0.867    0.217    0.868    0.217 unnamed.py:719(menu)
   451947    0.250    0.000    0.803    0.000 unnamed.py:560(set_colour)
   191/13    0.003    0.000    0.671    0.052 <frozen importlib._bootstrap>:958(_find_and_load)
   191/13    0.001    0.000    0.670    0.052 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
   175/12    0.001    0.000    0.661    0.055 <frozen importlib._bootstrap>:641(_load_unlocked)
   149/11    0.001    0.000    0.660    0.060 <frozen importlib._bootstrap_external>:672(exec_module)
   250/14    0.000    0.000    0.660    0.047 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
    326/9    0.000    0.000    0.644    0.072 {built-in method builtins.__import__}
        1    0.000    0.000    0.612    0.612 __init__.py:60(<module>)
        1    0.000    0.000    0.604    0.604 __init__.py:17(<module>)
        1    0.000    0.000    0.602    0.602 libtcodpy.py:2(<module>)
   434279    0.396    0.000    0.472    0.000 terminal.py:174(put)
  175/172    0.001    0.000    0.427    0.002 <frozen importlib._bootstrap>:553(module_from_spec)
    12/11    0.000    0.000    0.420    0.038 <frozen importlib._bootstrap_external>:919(create_module)
    12/11    0.415    0.035    0.420    0.038 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.410    0.410 libtcod.py:2(<module>)
   451947    0.367    0.000    0.410    0.000 terminal.py:148(color)
        6    0.000    0.000    0.228    0.038 __init__.py:1(<module>)
  814/117    0.001    0.000    0.191    0.002 <frozen importlib._bootstrap>:989(_handle_fromlist)
        1    0.000    0.000    0.171    0.171 __init__.py:106(<module>)
   451947    0.144    0.000    0.144    0.000 terminal.py:274(color_from_argb)
        1    0.000    0.000    0.133    0.133 add_newdocs.py:10(<module>)
      184    0.002    0.000    0.106    0.001 <frozen importlib._bootstrap>:861(_find_spec)
        6    0.105    0.018    0.105    0.018 terminal.py:124(set)
      170    0.000    0.000    0.103    0.001 <frozen importlib._bootstrap_external>:1149(find_spec)
      170    0.001    0.000    0.103    0.001 <frozen importlib._bootstrap_external>:1117(_get_spec)
      738    0.001    0.000    0.099    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
      738    0.098    0.000    0.098    0.000 {built-in method nt.stat}
      372    0.004    0.000    0.095    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
   890512    0.093    0.000    0.093    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.093    0.093 type_check.py:3(<module>)
      149    0.002    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:743(get_code)
      126    0.001    0.000    0.063    0.000 style.py:23(deprecated_function)
      126    0.025    0.000    0.060    0.000 map.py:297(quick_fov)
        1    0.000    0.000    0.050    0.050 __init__.py:7(<module>)
        1    0.041    0.041    0.042    0.042 terminal.py:92(open)
